source,tag,division_code,division_name,section_code,section_name,cos,rank
crunchbase,3D Printing,18,Printing and reproduction of recorded media,C,MANUFACTURING,0.40250030159950256,1
crunchbase,3D Printing,18,Printing and reproduction of recorded media,C,MANUFACTURING,0.40250030159950256,2
crunchbase,3D Printing,32,Other manufacturing,C,MANUFACTURING,0.4014044404029846,3
crunchbase,3D Technology,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.43149396777153015,1
crunchbase,3D Technology,59,"Motion picture, video and television programme production, sound recording and music publishing activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.42087996006011963,2
crunchbase,A/B Testing,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3846015930175781,1
crunchbase,Accounting,69,Legal and accounting activities,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.6116914749145508,1
crunchbase,Ad Exchange,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.34861353039741516,1
crunchbase,Ad Network,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.387809693813324,1
crunchbase,Ad Network,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.387809693813324,2
crunchbase,Ad Retargeting,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.44199034571647644,1
crunchbase,Ad Server,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.38328295946121216,1
crunchbase,Ad Server,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.38328295946121216,2
crunchbase,Ad Server,60,"Programming, broadcasting, news agency and other content distribution activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.3760448694229126,3
crunchbase,Ad Targeting,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.5015876889228821,1
crunchbase,Addiction Treatment,88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.3644792437553406,1
crunchbase,Adult,96,Personal service activities,T,OTHER SERVICE ACTIVITIES,0.35702675580978394,1
crunchbase,Adult,60,"Programming, broadcasting, news agency and other content distribution activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.3800095319747925,2
crunchbase,Adult,96,Personal service activities,T,OTHER SERVICE ACTIVITIES,0.35702675580978394,3
crunchbase,Advanced Materials,25,"Manufacture of fabricated metal products, except machinery and equipment",C,MANUFACTURING,0.3769693672657013,1
crunchbase,Advanced Materials,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.38919031620025635,2
crunchbase,Advanced Materials,25,"Manufacture of fabricated metal products, except machinery and equipment",C,MANUFACTURING,0.3769693672657013,3
crunchbase,Adventure Travel,79,"Travel agency, tour operator and other reservation service and related activities",O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.5695290565490723,1
crunchbase,Advertising,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.5741983652114868,1
crunchbase,Advertising Platforms,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.36665934324264526,1
