source,tag,division_code,division_name,section_code,section_name,cos,rank
openalex,Quantum Dots Synthesis And Properties,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.42981183528900146,1
openalex,Respiratory Support and Mechanisms,88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.2791631519794464,1
openalex,Respiratory Support and Mechanisms,88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.2791631519794464,2
openalex,Analog and Mixed-Signal Circuit Design,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.42951563000679016,1
openalex,Microbial bioremediation and biosurfactants,39,Remediation activities and other waste management service activities,E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0.6138611435890198,1
openalex,Astro and Planetary Science,72,Scientific research and development,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.4069933593273163,1
openalex,Indoor and Outdoor Localization Technologies,61,Telecommunication,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.32179343700408936,1
openalex,Adolescent Sexual and Reproductive Health,88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.4435766935348511,1
openalex,Supply Chain and Inventory Management,52,"Warehousing, storage and support activities for transportation",H,TRANSPORTATION AND STORAGE,0.5820828080177307,1
openalex,Thyroid Cancer Diagnosis and Treatment,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.31331562995910645,1
openalex,Hydrology and Watershed Management Studies,36,"Water collection, treatment and supply",E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0.4964013993740082,1
openalex,Video Surveillance and Tracking Methods,80,Investigation and security activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.35849475860595703,1
openalex,Amphibian and Reptile Biology,75,Veterinary activities,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.4041587710380554,1
openalex,Meat and Animal Product Quality,10,Manufacture of food products,C,MANUFACTURING,0.3520379364490509,1
openalex,"Hearing, Cochlea, Tinnitus, Genetics",86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.35519737005233765,1
openalex,Colorectal Cancer Surgical Treatments,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.3388717472553253,1
openalex,Cancer Cells and Metastasis,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.4025808572769165,1
openalex,Liver Disease and Transplantation,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.3605239689350128,1
openalex,Advanced Sensor and Energy Harvesting Materials,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.36510151624679565,1
openalex,Advanced Sensor and Energy Harvesting Materials,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.36510151624679565,2
openalex,Advanced Numerical Methods in Computational Mathematics,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.3848215639591217,1
openalex,Advanced Numerical Methods in Computational Mathematics,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.3848215639591217,2
openalex,Advanced Numerical Methods in Computational Mathematics,72,Scientific research and development,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.407509446144104,3
openalex,Hepatitis B Virus Studies,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.21341565251350403,1
openalex,Hepatitis B Virus Studies,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.21341565251350403,2
openalex,Coral and Marine Ecosystems Studies,03,Fishing and aquaculture,A,"AGRICULTURE, FORESTRY AND FISHING",0.34189391136169434,1
openalex,Circadian rhythm and melatonin,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.2581862509250641,1
openalex,"Hydrogels: synthesis, properties, applications",20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.33535492420196533,1
openalex,"Hydrogels: synthesis, properties, applications",20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.33535492420196533,2
openalex,"Hydrogels: synthesis, properties, applications",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.32827404141426086,3
openalex,Management and Organizational Studies,70,Activities of head offices and management consultancy,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.5680946111679077,1
openalex,Hematopoietic Stem Cell Transplantation,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.30008381605148315,1
openalex,Magnetic confinement fusion research,72,Scientific research and development,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3472810983657837,1
openalex,Magnetic confinement fusion research,72,Scientific research and development,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3472810983657837,2
openalex,Atmospheric aerosols and clouds,51,Air transport,H,TRANSPORTATION AND STORAGE,0.5119627118110657,1
openalex,"Indigenous Health, Education, and Rights",88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.3749808073043823,1
