source,tag,division_code,division_name,section_code,section_name,cos,rank
regpat,A01B,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5335613489151001,1
regpat,A01B79/005,61,Telecommunication,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.41581955552101135,1
regpat,A01C,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.45866858959198,1
regpat,A01C7,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.38891568779945374,1
regpat,A01D,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.48014935851097107,1
regpat,A01D2101,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4904569089412689,1
regpat,A01D34,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.43071475625038147,1
regpat,A01D34/008,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.32755351066589355,1
regpat,A01D41,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4135533571243286,1
regpat,A01D41,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4135533571243286,2
regpat,A01D41,33,"Repair, maintenance and installation of machinery and equipment",C,MANUFACTURING,0.4076645076274872,3
regpat,A01F,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.561464786529541,1
regpat,A01G,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4824115037918091,1
regpat,A01G7,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.3605972230434418,1
regpat,A01G7,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.3605972230434418,2
regpat,A01G7,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.35939961671829224,3
regpat,A01G9,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.46521034836769104,1
regpat,A01H,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4659287929534912,1
regpat,A01H1,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5027459859848022,1
